start_times,end_times,start_indexes,end_indexes,prob,best_channel,subject,date,probe
3783.5528,3783.584,263976,264015,0.9893256,344,462910,20240813,probe01
3785.5688,3785.5872,266496,266519,0.99422437,344,462910,20240813,probe01
3787.3864,3787.4112,268768,268799,0.99508643,344,462910,20240813,probe01
3790.1704,3790.2079999999996,272248,272295,0.9958307,344,462910,20240813,probe01
3797.4856,3797.5103999999997,281392,281423,0.9992694,344,462910,20240813,probe01
3797.7544,3797.7727999999997,281728,281751,0.9970323,344,462910,20240813,probe01
3803.9752,3803.9936,289504,289527,0.9946914,344,462910,20240813,probe01
3810.612,3810.6495999999997,297800,297847,0.99437356,344,462910,20240813,probe01
3813.0888,3813.1135999999997,300896,300927,0.99468154,344,462910,20240813,probe01
3829.4471999999996,3829.504,321344,321415,0.9875778,344,462910,20240813,probe01
3952.5063999999998,3952.544,475168,475215,0.99589527,344,462910,20240813,probe01
3954.9768,3954.9952,478256,478279,0.99322975,344,462910,20240813,probe01
3957.0312,3957.056,480824,480855,0.990067,344,462910,20240813,probe01
3959.7064,3959.7504,484168,484223,0.9970543,344,462910,20240813,probe01
3962.5991999999997,3962.6367999999998,487784,487831,0.9950615,344,462910,20240813,probe01
3968.4808,3968.4991999999997,495136,495159,0.9903618,344,462910,20240813,probe01
3973.3512,3973.4015999999997,501224,501287,0.9954241,344,462910,20240813,probe01
3973.8824,3973.9008,501888,501911,0.9903717,344,462910,20240813,probe01
3974.0424,3974.0607999999997,502088,502111,0.9985319,344,462910,20240813,probe01
3981.8952,3981.92,511904,511935,0.9978319,344,462910,20240813,probe01
3983.7383999999997,3983.7695999999996,514208,514247,0.9902776,344,462910,20240813,probe01
3985.5368,3985.5616,516456,516487,0.9941259,344,462910,20240813,probe01
3993.9143999999997,3993.9392,526928,526959,0.99848515,344,462910,20240813,probe01
3996.3848,3996.4159999999997,530016,530055,0.99867654,344,462910,20240813,probe01
3996.5447999999997,3996.5631999999996,530216,530239,0.9998496,344,462910,20240813,probe01
3997.2039999999997,3997.2223999999997,531040,531063,0.9910078,344,462910,20240813,probe01
4002.036,4002.0607999999997,537080,537111,0.9943188,344,462910,20240813,probe01
4007.1751999999997,4007.2,543504,543535,0.9860048,344,462910,20240813,probe01
4008.7304,4008.7488,545448,545471,0.99237186,344,462910,20240813,probe01
4014.1639999999998,4014.1888,552240,552271,0.98977596,344,462910,20240813,probe01
4014.5031999999997,4014.5216,552664,552687,0.9992722,344,462910,20240813,probe01
4019.2264,4019.2639999999997,558568,558615,0.9967157,344,462910,20240813,probe01
4025.6391999999996,4025.6639999999998,566584,566615,0.99615383,344,462910,20240813,probe01
4028.7752,4028.8127999999997,570504,570551,0.9950458,344,462910,20240813,probe01
4029.5879999999997,4029.6063999999997,571520,571543,0.993441,344,462910,20240813,probe01
4029.7032,4029.7216,571664,571687,0.9937643,344,462910,20240813,probe01
4040.8199999999997,4040.8383999999996,585560,585583,0.9857991,344,462910,20240813,probe01
4045.076,4045.0944,590880,590903,0.99139786,344,462910,20240813,probe01
4045.2295999999997,4045.2544,591072,591103,0.9936422,344,462910,20240813,probe01
4046.1384,4046.1567999999997,592208,592231,0.9901148,344,462910,20240813,probe01
4057.7352,4057.7599999999998,606704,606735,0.9963352,344,462910,20240813,probe01
4060.3592,4060.3776,609984,610007,0.9937656,344,462910,20240813,probe01
4063.2648,4063.2896,613616,613647,0.9970486,344,462910,20240813,probe01
4065.7672,4065.792,616744,616775,0.99828315,344,462910,20240813,probe01
4068.7816,4068.7999999999997,620512,620535,0.9905136,344,462910,20240813,probe01
4073.4215999999997,4073.4528,626312,626351,0.99646777,344,462910,20240813,probe01
4077.62,4077.6576,631560,631607,0.9992256,344,462910,20240813,probe01
4086.1192,4086.1504,642184,642223,0.9956306,344,462910,20240813,probe01
4086.5096,4086.5535999999997,642672,642727,0.9922824,344,462910,20240813,probe01
4091.7255999999998,4091.7439999999997,649192,649215,0.9975692,344,462910,20240813,probe01
4092.0904,4092.1216,649648,649687,0.98642427,344,462910,20240813,probe01
4094.3176,4094.3552,652432,652479,0.9957287,344,462910,20240813,probe01
4094.4903999999997,4094.5087999999996,652648,652671,0.99391913,344,462910,20240813,probe01
4099.2904,4099.3088,658648,658671,0.99153566,344,462910,20240813,probe01
