region_pair,region1,region2,object,p_value,f_stat,subject,date
iCA1 → LEC,iCA1,LEC,object3,0.0010418995332597337,1.1544773747968755,462910,20240814
LEC → dCA1,LEC,dCA1,object1,0.0010418995332597337,1.093284345184968,462910,20240814
dCA1 → LEC,dCA1,LEC,object1,1.0993857002703593e-05,1.0892710265994356,462910,20240814
LEC → dCA1,LEC,dCA1,object2,0.003873880061062304,1.1112854787429731,462910,20240814
dCA1 → LEC,dCA1,LEC,object2,0.00012056183807370646,1.0941401413493625,462910,20240814
LEC → dCA1,LEC,dCA1,object3,0.04380701033545842,1.0227390575333524,462910,20240814
dCA1 → LEC,dCA1,LEC,object3,0.0003655539070208986,1.167070788334827,462910,20240814
PERI 36 → iCA1,PERI 36,iCA1,object1,3.746511293372324e-05,1.1671756473910626,462910,20240814
iCA1 → PERI 36,iCA1,PERI 36,object1,9.489301735637252e-11,1.148941793320035,462910,20240814
PERI 36 → iCA1,PERI 36,iCA1,object2,2.0079925475217446e-07,1.179284057166285,462910,20240814
iCA1 → PERI 36,iCA1,PERI 36,object2,2.333699181136471e-09,1.1519963822968515,462910,20240814
PERI 36 → iCA1,PERI 36,iCA1,object3,1.0993857002703593e-05,1.1145575310328149,462910,20240814
iCA1 → PERI 36,iCA1,PERI 36,object3,0.00012056183807370646,1.0721010121673626,462910,20240814
PERI 36 → dCA1,PERI 36,dCA1,object1,3.0524802233976412e-06,1.2182115433396088,462910,20240814
dCA1 → PERI 36,dCA1,PERI 36,object1,2.333699181136471e-09,1.287023221498458,462910,20240814
PERI 36 → dCA1,PERI 36,dCA1,object2,1.0806858315507446e-08,1.2484350338052286,462910,20240814
dCA1 → PERI 36,dCA1,PERI 36,object2,4.812676294926151e-10,1.093677131693917,462910,20240814
PERI 36 → dCA1,PERI 36,dCA1,object3,0.00012056183807370646,1.0753706546533353,462910,20240814
dCA1 → PERI 36,dCA1,PERI 36,object3,0.003873880061062304,1.0247823572433317,462910,20240814
iCA1 → dCA1,iCA1,dCA1,object1,4.773117564418784e-08,1.1879500361139865,462910,20240814
dCA1 → iCA1,dCA1,iCA1,object1,1.0993857002703593e-05,1.2033231024903948,462910,20240814
