region_1,region_2,region_pair,causality_score,object,subject,date
PERI,TEa,PERI <> TEa,0.9447808317273036,2,466395,20241113
TEa,PERI,PERI <> TEa,0.9999897394116892,2,466395,20241113
PERI,VIS,PERI <> VIS,0.563878428065895,1,466395,20241113
VIS,PERI,PERI <> VIS,0.06664655655668433,1,466395,20241113
PERI,VIS,PERI <> VIS,0.5769049953861904,2,466395,20241113
VIS,PERI,PERI <> VIS,0.06833105079614508,2,466395,20241113
PERI,CA1,PERI <> CA1,0.6965947085118722,1,466395,20241113
CA1,PERI,PERI <> CA1,0.4480657610818438,1,466395,20241113
PERI,CA1,PERI <> CA1,0.6994222582796575,2,466395,20241113
CA1,PERI,PERI <> CA1,0.4574450804218455,2,466395,20241113
TEa,VIS,TEa <> VIS,0.9999304551112469,1,466395,20241113
VIS,TEa,TEa <> VIS,0.2675386875039559,1,466395,20241113
TEa,VIS,TEa <> VIS,0.9999420918840516,2,466395,20241113
VIS,TEa,TEa <> VIS,0.26069109518381545,2,466395,20241113
TEa,CA1,TEa <> CA1,0.9999853129740763,1,466395,20241113
CA1,TEa,TEa <> CA1,0.8848198839621295,1,466395,20241113
TEa,CA1,TEa <> CA1,0.9999860474690725,2,466395,20241113
CA1,TEa,TEa <> CA1,0.8756268052804786,2,466395,20241113
VIS,CA1,VIS <> CA1,0.04158285671156136,1,466395,20241113
CA1,VIS,VIS <> CA1,0.2944936221943723,1,466395,20241113
VIS,CA1,VIS <> CA1,0.0404084827058858,2,466395,20241113
CA1,VIS,VIS <> CA1,0.30997804814238294,2,466395,20241113
AUD,LEC,AUD <> LEC,0.18062498852330028,1,466395,20241114
LEC,AUD,AUD <> LEC,0.0030602508972756106,1,466395,20241114
AUD,LEC,AUD <> LEC,0.1835664964040973,2,466395,20241114
LEC,AUD,AUD <> LEC,0.002892334029715245,2,466395,20241114
AUD,PERI,AUD <> PERI,0.22648293686920914,1,466395,20241114
PERI,AUD,AUD <> PERI,0.2840244713869381,1,466395,20241114
AUD,PERI,AUD <> PERI,0.23014578807976716,2,466395,20241114
PERI,AUD,AUD <> PERI,0.29145443377349894,2,466395,20241114
