switch,context,distance,position,subject,date,probe,lda_pos,region
1,1,-4414415937.060517,840,459601,20240409,probe00,600,Cortex
1,2,-6991990809.954797,840,459601,20240409,probe00,600,Cortex
0,1,-439514451.9694085,850,459601,20240409,probe00,600,Cortex
0,2,-7318819613.77778,850,459601,20240409,probe00,600,Cortex
1,1,-541812985.0590085,850,459601,20240409,probe00,600,Cortex
1,2,-814945785.0380061,850,459601,20240409,probe00,600,Cortex
0,1,-40801848.833202235,860,459601,20240409,probe00,600,Cortex
0,2,-523842559.9837127,860,459601,20240409,probe00,600,Cortex
1,1,-58619952.25639215,860,459601,20240409,probe00,600,Cortex
1,2,-76973659.99446872,860,459601,20240409,probe00,600,Cortex
0,1,63769289.54245482,870,459601,20240409,probe00,600,Cortex
0,2,12389445.61296987,870,459601,20240409,probe00,600,Cortex
1,1,50071486.358810686,870,459601,20240409,probe00,600,Cortex
1,2,41554581.57039513,870,459601,20240409,probe00,600,Cortex
0,1,1889448992.2949333,880,459601,20240409,probe00,600,Cortex
0,2,1218845174.4737227,880,459601,20240409,probe00,600,Cortex
1,1,1551945293.0471778,880,459601,20240409,probe00,600,Cortex
1,2,1373324090.5744877,880,459601,20240409,probe00,600,Cortex
0,1,43857660291.27937,890,459601,20240409,probe00,600,Cortex
0,2,28206121358.569622,890,459601,20240409,probe00,600,Cortex
1,1,36772856070.72528,890,459601,20240409,probe00,600,Cortex
1,2,32817949462.59067,890,459601,20240409,probe00,600,Cortex
0,1,793577577874.0427,900,459601,20240409,probe00,600,Cortex
0,2,508409183061.55084,900,459601,20240409,probe00,600,Cortex
1,1,707905482926.9996,900,459601,20240409,probe00,600,Cortex
1,2,616684008802.4888,900,459601,20240409,probe00,600,Cortex
